endTime,artistName,trackName,msPlayed
2020-02-17 23:06,Waxahatchee,Fire,3370
2020-02-18 00:27,Waxahatchee,Fire,2530
2020-02-18 00:35,Rosie Carney,Thousand - Acoustic,2650
2020-02-18 00:35,The Rolling Stones,Moonlight Mile - 2009 Mix,379350
2020-02-18 00:36,Bryan Adams,God Only Knows,61990
2020-02-18 00:36,Laura Mvula,Show Me Love,1860
2020-02-18 00:38,VHS Collection,Late Night (It's Okay),90240
2020-02-18 00:39,Robyn,Honey,1300
2020-02-18 00:39,Nick Drake,Place To Be,16650
2020-02-18 00:39,Billy Joel,And So It Goes,66250
2020-02-18 00:39,Tristan Prettyman,Say Anything,10
2020-02-18 00:39,The National,Hard To Find,1040
2020-02-18 00:40,Robyn,Honey,3630
2020-02-18 00:40,Florence + The Machine,South London Forever,1400
2020-02-18 00:40,St. Vincent,New York,990
2020-02-18 00:40,Ride,Vapour Trail - 2001 Remaster,2350
2020-02-18 00:40,Tristan Prettyman,Say Anything,62260
2020-02-18 00:41,The National,Sorrow,1980
2020-02-18 00:41,Ane Brun,Girl From The North Country,30760
2020-02-18 00:41,Rhye,The Fall,1000
2020-02-18 00:42,Tristan Prettyman,I Was Gonna Marry You,83880
2020-02-18 00:43,Sharon Van Etten,All I Can,600
2020-02-18 00:43,Bob Dylan,Love Minus Zero,3990
2020-02-18 00:43,Jackson C. Frank,Blues Run the Game - 2001 Remaster,18680
2020-02-18 00:45,Sharon Van Etten,All I Can,2770
2020-02-18 00:45,Lord Huron,The Night We Met,680
2020-02-18 00:45,Fleetwood Mac,Silver Springs - 2004 Remaster,1240
2020-02-18 00:45,Solange,Cranes in the Sky,1010
2020-02-18 00:45,Solange,Cranes in the Sky,20
2020-02-18 00:45,Fleetwood Mac,Storms - 2015 Remaster,3030
2020-02-18 00:45,Fleetwood Mac,Storms - 2015 Remaster,1260
2020-02-18 00:45,Pinkfong,Baby Shark,610
2020-02-18 00:45,Ásgeir,On That Day,1160
2020-02-18 00:45,Laura Mvula,Show Me Love,710
2020-02-18 00:45,Bob Dylan,Love Minus Zero,103900
2020-02-18 00:45,The Beau Brummels,"Laugh, Laugh",820
2020-02-18 00:45,Future Islands,A Dream of You and Me,890
2020-02-18 00:46,Joni Mitchell,A Case of You,1740
2020-02-18 00:46,Nick Drake,Pink Moon,310
2020-02-18 00:46,Neko Case,Star Witness,960
2020-02-18 00:46,Yo La Tengo,Our Way to Fall,140
2020-02-18 00:46,Bryan Adams,God Only Knows,70450
2020-02-18 00:46,The Rolling Stones,Moonlight Mile - 2009 Mix,1160
2020-02-18 00:46,Neil Young,Razor Love,2770
2020-02-18 00:46,Sharon Van Etten,Every Time the Sun Comes Up,910
2020-02-18 00:46,Big Star,Thirteen,290
2020-02-18 00:47,Joni Mitchell,Carey,930
2020-02-18 00:47,Phoebe Bridgers,Motion Sickness,2110
2020-02-18 00:47,Fleetwood Mac,Never Going Back Again - 2004 Remaster,1180
2020-02-18 00:47,HAIM,Summer Girl - Bonus Track,3370
2020-02-18 00:47,Kate Bush,Cloudbusting,68010
2020-02-18 00:48,The Monkees,Me & Magdalena,8250
2020-02-18 00:48,Nick Drake,One Of These Things First,1370
2020-02-18 00:50,gobbinjr,afraid of me,167949
2020-02-18 00:51,Loudon Wainwright III,The Swimming Song,20070
2020-02-18 00:51,Dave Van Ronk,"Hang Me, Oh Hang Me",1140
2020-02-18 00:51,Madonna,Express Yourself,810
2020-02-18 00:51,The Beach Boys,God Only Knows - Remastered,1980
2020-02-18 00:51,James Blake,f.o.r.e.v.e.r.,170
2020-02-18 00:51,Fisher,Breakable - Soundtrack Version,310
2020-02-18 00:51,The Bad Plus,Smells Like Teen Spirit,1330
2020-02-18 00:51,Hozier,From Eden,900
2020-02-18 00:51,Johnny Cash,One,0
2020-02-18 00:51,Half Waif,Keep It Out,410
2020-02-18 00:51,Mumford & Sons,Forever,1330
2020-02-18 00:51,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,510
2020-02-18 00:51,Cream,Sunshine Of Your Love,80
2020-02-18 00:52,The Rolling Stones,Waiting On A Friend - Remastered 2009,8180
2020-02-18 00:52,The Bad Plus,Smells Like Teen Spirit,960
2020-02-18 00:52,Bon Iver,Faith,1320
2020-02-18 00:52,Johnny Cash,One,59420
2020-02-18 00:52,Lowlife,Coward's Way,980
2020-02-18 00:53,About a Million,Ant,2990
2020-02-18 00:53,Queen,I Want To Break Free - Remastered 2011,890
2020-02-18 00:53,Rod Stewart,The Motown Song (with The Temptations) - 2008 Remaster,1510
2020-02-18 00:53,Duncan Sheik,Barely Breathing,4790
2020-02-18 00:53,Paula Abdul,Rush Rush - Single Version,2000
2020-02-18 00:53,The Weather Station,Don't Understand,53980
2020-02-18 00:53,Feist,I Feel It All,1000
2020-02-18 00:53,Gang of Youths,Magnolia,1330
2020-02-18 00:53,Grant Lee Buffalo,Mockingbirds,1540
2020-02-18 00:55,My Morning Jacket,Golden,90
2020-02-18 00:55,Pipes & Drums & Regimental Band Royal Highland Fusiliers,Scotland the Brave,1420
2020-02-18 00:55,The Mountain Goats,The Sign,970
2020-02-18 00:55,The Magnetic Fields,Meaningless,2810
2020-02-18 00:55,Sigur Rós,Untitled #1 - Vaka,110
2020-02-18 00:55,The Clash,Hateful - Remastered,0
2020-02-18 00:55,Night Shop,The One I Love,5390
2020-02-18 00:55,Iron & Wine,Autumn Town Leaves,1010
2020-02-18 00:55,Sarah Shook & the Disarmers,Over You,860
2020-02-18 00:55,Mumford & Sons,Darkness Visible,0
2020-02-18 00:55,Jon Hopkins,Immunity,1110
2020-02-18 00:55,Roy Orbison,You Got It,960
2020-02-18 00:55,Sigur Rós,Sæglópur,1010
2020-02-18 00:55,U2,With Or Without You,96550
2020-02-18 00:55,The 1975,I Always Wanna Die (Sometimes),1390
2020-02-18 00:56,Pete Yorn,Strange Condition,3440
2020-02-18 00:56,Johnny Cash,I Still Miss Someone,5470
2020-02-18 00:56,Neil Young,Walk On - 2016 Remaster,1000
2020-02-18 00:56,Hamilton Leithauser,A 1000 Times,630
2020-02-18 00:56,The Magnetic Fields,I'm Sorry I Love You,35550
2020-02-18 00:56,Maddy Jane,Thank You and Sorry,4580
2020-02-18 00:56,Butthole Surfers,Pepper,1390
2020-02-18 00:58,Tiny Ruins,"Always You, Tiptoeing Through",93200
2020-02-18 01:01,Lucinda Williams,Drunken Angel,176890
2020-02-18 01:02,gobbinjr,afraid of me,180
2020-02-18 01:02,gobbinjr,afraid of me,260
2020-02-18 01:02,gobbinjr,afraid of me,5770
2020-02-18 01:02,Holy Holy,True Lovers,76380
2020-02-18 01:05,The Velvet Underground,I Found a Reason - 2015 Remaster,670
2020-02-18 01:05,Caroline Polachek,Look At Me Now,138350
2020-02-18 01:05,Sufjan Stevens,Futile Devices (Doveman Remix),440
2020-02-18 01:05,Adult Mom,I Think I'm Old Enough,5770
2020-02-18 01:07,Bob Dylan,Meet Me in the Morning,1400
2020-02-18 01:07,The Clash,London Calling - Remastered,810
2020-02-18 01:07,Nina Simone,"Ain't Got No - I Got Life (From the musical production ""Hair"") - Remastered",90
2020-02-18 01:07,Black Ace,Whiskey And Women,1620
2020-02-18 01:07,Brightblack Morning Light,Everybody Daylight,820
2020-02-18 01:07,Land of Talk,It's Okay,2140
2020-02-18 01:07,Alabama Shakes,Hang Loose,350
2020-02-18 01:07,The National,Sleep Well Beast,0
2020-02-18 01:07,Bruce Springsteen,Tenth Avenue Freeze-Out,0
2020-02-18 01:07,Waylon Jennings,"Luckenbach, Texas (Back to the Basics of Love)",7420
2020-02-18 01:07,Preservation Hall Jazz Band,Little Liza Jane,1300
2020-02-18 01:07,Arcade Fire,Sprawl II (Mountains Beyond Mountains),730
2020-02-18 01:07,Katy McAllister,The Same,1960
2020-02-18 01:07,Sharon Van Etten,I Know,930
2020-02-18 01:07,David Gray,Please Forgive Me,1000
2020-02-18 01:07,My Morning Jacket,Rocket Man,920
2020-02-18 01:07,Dawes,Somewhere Along The Way,1270
2020-02-18 01:07,Nick Drake,Harvest Breed,640
2020-02-18 01:07,Peter Gabriel,In Your Eyes - 2012 Remaster,109100
2020-02-18 01:07,Hozier,In a Week (feat. Karen Cowley),1010
2020-02-18 01:07,Baker Boy,Mr La Di Da Di,0
2020-02-18 01:07,Fire In The Hamptons,Humanimal,1180
2020-02-18 01:07,Tom Waits,I Hope That I Don't Fall In Love With You,1070
2020-02-18 01:07,Jesse Marchant,Years,7660
2020-02-18 01:07,James Vincent McMorrow,Last Story,540
2020-02-18 01:08,Hozier,Cherry Wine - Live,770
2020-02-18 01:08,Mother Mother,It's Alright,1900
2020-02-18 01:08,Green Day,When I Come Around,0
2020-02-18 01:08,Dum Dum Girls,There Is a Light That Never Goes Out,1210
2020-02-18 01:08,Tom Waits,Downtown Train,510
2020-02-18 01:08,Sun Kil Moon,I Know It's Pathetic But That Was the Greatest Night of My Life,2730
2020-02-18 01:08,Grimes,Delete Forever,1250
2020-02-18 01:08,Neko Case,Dirty Diamond,110
2020-02-18 01:08,The Bad Plus,The Beautiful Ones - Instrumental,1090
2020-02-18 01:08,Peter Gabriel,Sledgehammer - Dance Mix,160
2020-02-18 01:08,The Clash,Four Horsemen - Remastered,790
2020-02-18 01:08,Unknown Mortal Orchestra,Puzzles,740
2020-02-18 01:08,DWNTWN,Heroine,670
2020-02-18 01:08,DWNTWN,Heroine,1850
2020-02-18 01:08,Paul Simon,Slip Slidin' Away,0
2020-02-18 01:08,Natalie Merchant,The Letter,70
2020-02-18 01:08,Graham Nash,Better Days,930
