artistName,totalMsPlayed
Waxahatchee,432393
Rosie Carney,2650
The Rolling Stones,1206968
Bryan Adams,512404
Laura Mvula,125992
VHS Collection,90240
Robyn,569914
Nick Drake,483012
Billy Joel,663311
Tristan Prettyman,169466
The National,3884729
Florence + The Machine,3198530
St. Vincent,301429
Ride,4056
Ane Brun,83042
Rhye,93614
Sharon Van Etten,970826
Bob Dylan,6577331
Jackson C. Frank,51564
Lord Huron,123652
Fleetwood Mac,3475939
Solange,348230
Pinkfong,9379
Ásgeir,36214
The Beau Brummels,1950
Future Islands,547910
Joni Mitchell,53433
Neko Case,42113
Yo La Tengo,30658
Neil Young,99035
Big Star,26317
Phoebe Bridgers,4729632
HAIM,103589
Kate Bush,77930
The Monkees,65971
gobbinjr,182167
Loudon Wainwright III,88813
Dave Van Ronk,382740
Madonna,1382710
The Beach Boys,276883
James Blake,7313
Fisher,1796
The Bad Plus,47155
Hozier,15059
Johnny Cash,85302
Half Waif,410
Mumford & Sons,24763
Mark Ronson,98085
Cream,6319
Bon Iver,365003
Lowlife,980
About a Million,197790
Queen,652968
Rod Stewart,937233
Duncan Sheik,247742
Paula Abdul,34521
The Weather Station,53980
Feist,37851
Gang of Youths,2908
Grant Lee Buffalo,3225
My Morning Jacket,5014
Pipes & Drums & Regimental Band Royal Highland Fusiliers,1420
The Mountain Goats,2038
The Magnetic Fields,62017
Sigur Rós,1087213
The Clash,1261278
Night Shop,5390
Iron & Wine,6983
Sarah Shook & the Disarmers,20635
Jon Hopkins,1110
Roy Orbison,6165
U2,1656608
The 1975,42003
Pete Yorn,589032
Hamilton Leithauser,226699
Maddy Jane,5220
Butthole Surfers,2627
Tiny Ruins,93200
Lucinda Williams,586718
Holy Holy,524670
The Velvet Underground,41890
Caroline Polachek,811499
Sufjan Stevens,524051
Adult Mom,5770
Nina Simone,495274
Black Ace,3134
Brightblack Morning Light,820
Land of Talk,2140
Alabama Shakes,9876
Bruce Springsteen,974270
Waylon Jennings,31291
Preservation Hall Jazz Band,1300
Arcade Fire,258644
Katy McAllister,1960
David Gray,219915
Dawes,1270
Peter Gabriel,2272796
Baker Boy,0
Fire In The Hamptons,136624
Tom Waits,149293
Jesse Marchant,9195
James Vincent McMorrow,20950
Mother Mother,3905
Green Day,261831
Dum Dum Girls,1210
Sun Kil Moon,6185
Grimes,271090
Unknown Mortal Orchestra,740
DWNTWN,3288
Paul Simon,1289141
Natalie Merchant,42830
Graham Nash,930
Elvis Presley,13522
Miike Snow,75700
Jim Alxndr,653
King Princess,408785
Sia,256210
Chairlift,10269
Sting,118497
Brandi Carlile,5495
George Harrison,57986
Galaxie 500,3655
Mazzy Star,30923
Nickodemus,3271
The Dodos,3467
Rhett Miller,130
Cassandra Wilson,4210
S. Carey,150
Mac DeMarco,2380
Jenny Lewis,32679
Destroyer,1642
Lime Cordiale,1460
Prince,1562111
The Tallest Man On Earth,42809
The Dead Weather,1120
Mariah Carey,81098
Daniel Johnston,51253
Shilpa Ray,1150
Ruth Moody,0
Jeff Buckley,288958
Hayley Ross,0
The Police,19310
Bruce Cockburn,77845
Caribou,162727
Beck,107346
Frightened Rabbit,1173
Red Hot Chili Peppers,983490
Bedouine,186026
"Crosby, Stills & Nash",35755
The Milk Carton Kids,63301
Judy Collins,4608
Tom Petty,51925
Courtney Barnett,57185
New Order,694574
Otis Redding,260545
Bay City Rollers,19423
Self Esteem,17423
Tōth,3920
Kurt Vile,173544
Pet Shop Boys,5374
The Smashing Pumpkins,33291
The Cars,39104
Marillion,1880
Sea Wolf,0
The Cure,109180
Jackson Browne,388741
R.E.M.,131910
Leonard Cohen,5801
Kaki King,118474
Pure Bathing Culture,1310
Stephen Steinbrink,1510
Dave Matthews Band,70995
Angel Olsen,547696
Fine Young Cannibals,419360
Frank Black,440
David Bowie,493500
Quivers,830
The Kinks,205389
Patti Smith,17773
Bear's Den,174
